,title,wakati_title
po000403,道産愛用展覧会,"['道産', '愛用', '展覧会']"
po000410,福島競馬,"['福島', '競馬']"
po000411,酒田競馬,"['酒田', '競馬']"
po000412,第十九回樺太大競馬会,"['十', '九', '回', '樺太', '競馬', '会']"
po000414,福島競馬,"['福島', '競馬']"
po000418,春季函館競馬,"['春季', '函館', '競馬']"
po000419,帝室御賞典函館競馬,"['帝室御賞典', '函館', '競馬']"
po000425,第十一回函館没馬能力共進会,"['十', '一', '回', '函館', '没', '馬', '能力', '共進会']"
po000427,昭和六年秋季　八雲競馬,"['昭和', '六', '年', '秋季', '八雲', '競馬']"
po000428,日本一の白河馬市,"['日本一', '白河', '馬市']"
po000430,埼玉甘藷,"['埼玉', '甘藷']"
po000453,鉄道図書館訓,"['鉄道', '図書館', '訓']"
po000454,館内配置書架案内,"['館内', '配置', '書架', '案内']"
po000457,記念緑化運動,"['記念', '緑化運動']"
po000458,植樹祭,['植樹祭']
po000459,お互に道路を愛しませう,"['お互', '道路']"
po000460,道は世の為人の為ともに改良致しませう,"['道', '世', '為人', '為', '改良']"
po000461,覚めよ道路改善に,"['道路', '改善']"
po000462,衛生都市の建設,"['衛生', '都市', '建設']"
po000463,道路の改良と愛護は万人の幸福,"['道路', '改良', '愛護', '万人', '幸福']"
po000464,お互に道路を愛しませう,"['お互', '道路']"
po000465,度量衡記念日,"['度量衡', '記念日']"
po000466,四月十一日度量衡記念日,"['四月十一日', '度量衡', '記念日']"
po000467,米ハキログラムデ買ヒマセウ,"['米', 'ハキログラムデ: error', '買', 'ヒマセウ: error']"
po000468,メートルデー,['メートルデー: error']
po000469,来ル四月十一日ヨリ白米ハメートル法デ小売シマス,"['ル', '四月十一日', 'ヨリ', '白米', 'ハ', 'メートル法', '小売', 'シ', 'マス']"
po000470,新旧対照重量換算表,"['新旧', '対照', '重量', '換算', '表']"
po000471,メートル法実行｛匆建からグラム建に｝建値換算表,"['メートル法', '実行', '匆建: error', 'グラム', '建', '建値', '換算', '表']"
po000472,МЕТРИЧЕСКИЕМЕРЫ,['МЕТРИЧЕСКИЕМЕРЫ: error']
po000473,МЕТРИЧЕСКИЕМЕРЫ,['МЕТРИЧЕСКИЕМЕРЫ: error']
po000474,銃後健康報国　,"['銃後', '健康', '報国']"
po000475,健康週間,"['健康', '週間']"
po000476,十月十日全国視力保存デー,"['十月十日', '全国', '視力', '保存', 'デー']"
po000477,六月四日　ムシ歯予防デー,"['六月四日', 'ムシ歯', '予防', 'デー']"
po000479,第十三回結核予防デー　12.6.27,"['十', '三', '回', '結核', '予防', 'デー', '12', '6', '27']"
po000480,6月4日全国ムシ歯予防デー,"['6月4日', '全国', 'ムシ歯', '予防', 'デー']"
po000481,第八回結核予防デー　7.6.27,"['八', '回', '結核', '予防', 'デー', '7', '6', '27']"
po000482,第七回結核予防デー　6.6.27,"['七', '回', '結核', '予防', 'デー', '6', '6', '27']"
po000483,自然に親しめ,[]
po000484,六月四日むし歯予防デー,"['六月四日', 'むし歯', '予防', 'デー']"
po000486,第二回飾窓競技会参加店,"['二', '回', '飾窓: error', '競技会', '参加', '店']"
po000487,陽明堂后版印刷所,"['陽', '明堂', '后', '版', '印刷所']"
po000488,陽明堂后版印刷所,"['陽', '明堂', '后', '版', '印刷所']"
po000489,陽明堂印刷所,"['陽', '明堂', '印刷所']"
po000490,陽明堂印刷所,"['陽', '明堂', '印刷所']"
po000491,陽明堂印刷所,"['陽', '明堂', '印刷所']"
po000492,陽明堂印刷所,"['陽', '明堂', '印刷所']"
po000493,創業二十周年　大日本法令出版株式会社,"['創業', '二', '十', '周年', '日本法令', '出版', '株式会社']"
po000494,三秀舎のカレンダーの台紙,"['三', '秀', '舎', 'カレンダー', '台紙']"
po000495,御大典奉祝ノ為メ十一月十日謹而休業仕候,"['大典', '奉祝', '為', 'メ', '十', '一月十日謹而休業仕候: error']"
po000496,明治三十二年略暦,"['明治', '三', '十', '二', '年', '略', '暦']"
po000497,謹而御大喪儀ヲ拝シ七日休業仕候,"['謹', '而御', '大喪儀', '拝', 'シ', '七日', '休業', '候']"
po000498,帝国第二艦隊歓迎之為メ乗組軍人ノ御方之入浴料ヲ金三銭二仕候,"['帝国', '第二艦隊', '歓迎', '為', 'メ', '乗組', '軍人', '御方', '入浴料', '金', '三', '銭', '二', '候']"
po000499,電話早見表,"['電話', '早見', '表']"
po000502,所得の申告,"['所得', '申告']"
po000504,故大隈候記念大講堂建設資金募集,"['大隈', '候', '記念', '大講堂', '建設', '資金', '募集']"
po000505,国際補助語　エスペラント,"['国際補助語: error', 'エスペラント']"
po000506,賜御台覧之栄,"['賜', '台覧', '栄']"
po000507,六月四日ムシ歯予防デー,"['六月四日', 'ムシ歯', '予防', 'デー']"
po000510,サムライインキ,"['サムライ', 'インキ']"
po000511,アテナインキ,"['アテナ', 'インキ']"
po000512,丸善スタンプインキ,"['丸善', 'スタンプ', 'インキ']"
po000515,冷えたポンパンのうまさは素敵！,"['ポンパン: error', 'うまさ', '素敵']"
po000516,レート,['レート']
po000517,ほうらい足袋,"['らい', '足袋']"
po000518,創業明治八年　島津製作所,"['創業', '明治', '八', '年', '島津製作所']"
po000519,プラトンインキ,['プラトンインキ: error']
po000520,英国製ヒーロー防水靴クリーム,"['英国製', 'ヒーロー', '防水', '靴', 'クリーム']"
po000521,町野金物店,"['町野', '金物店']"
po000522,フライト,['フライト']
po000523,安全スベリ止,"['安全', 'スベリ', '止']"
po000524,田沢除蝿粉,"['田沢', '除', '蝿', '粉']"
po000525,二色蚊とり線香　キング,"['二色', '蚊とり線香: error', 'キング']"
po000527,アセモ・タダレの最新薬　シッカロール,"['アセモ・タダレ: error', '最新', '薬', 'シッカロール: error']"
po000530,函館名物　五稜郭漬,"['函館', '名物', '五稜郭', '漬']"
po000531,ハアマアー鉛筆,"['ハアマアー: error', '鉛筆']"
po000533,時計ビスケ,"['時計', 'ビスケ']"
po000534,大津屋　太平商店,"['大津屋', '太平', '商店']"
po000536,CHEFSOUPS,['CHEFSOUPS: error']
po000537,登録商標　花の雲,"['登録商標', '花', '雲']"
po000538,極東　コーヒー牛乳,"['極東', 'コーヒー牛乳']"
po000539,ロンドインキ,"['ロンド', 'インキ']"
po000540,台湾ぽんかん,"['台湾', 'ぽんかん']"
po000541,ブルドックソース,['ブルドックソース: error']
po000542,羊肉ハ肉ノ王　,"['羊肉', 'ハ肉: error', '王']"
po000549,函館精養軒の包装紙,"['函館', '精養軒', '包装', '紙']"
